data,descricao,categoria,valor,tipo,estabelecimento,metodo_pagamento
2025-10-16,Servicos,servicos,38.69,saida,Loja de Eletrônicos,debito
2025-10-16,Estacionamento,transporte,27.4,saida,Metrô,debito
2025-10-17,Bar,lazer,144.87,saida,Livraria Cultura,debito
2025-10-17,Janta,alimentacao,45.0,saida,Supermercado Bom Preço,debito
2025-10-20,Restaurante,lazer,88.0,saida,Academia FitPro,debito
2025-10-21,Uber,transporte,71.08,saida,Ônibus Municipal,pix
2025-10-21,Show,lazer,82.08,saida,Livraria Cultura,pix
2025-10-21,Vestuario,vestuario,98.36,saida,C&A,pix
2025-10-22,Vestuario,vestuario,60.11,saida,Renner,debito
2025-10-22,Educacao,educacao,74.22,saida,Cursos Online Academy,credito
2025-10-23,Estacionamento,transporte,56.98,saida,Ônibus Municipal,credito
2025-10-23,Combustível,transporte,47.03,saida,Banca de Jornais,pix
2025-10-23,Metrô,transporte,61.57,saida,Ônibus Municipal,debito
2025-10-26,Compra do Mês,servicos,389.42,saida,Manutenção Residencial,pix
2025-10-27,Estacionamento,transporte,18.35,saida,99 Taxi,credito
2025-10-28,Servicos,servicos,115.2,saida,Salão Beauty,pix
2025-10-28,Metrô,transporte,51.5,saida,Restaurante Sabor Caseiro,pix
2025-10-28,Servicos,servicos,93.57,saida,Pet Shop Amigo Fiel,credito
2025-10-29,Cinema,lazer,110.76,saida,Pet Shop Amigo Fiel,debito
2025-10-29,Ônibus,transporte,62.74,saida,Posto Ipiranga,credito
2025-10-30,Servicos,servicos,70.91,saida,Salão Beauty,pix
2025-10-30,Educacao,educacao,106.19,saida,Cursos Online Academy,credito
2025-11-02,Internet,moradia,120.0,saida,Casa Nova Imobiliária,pix
2025-11-04,Plano de Saúde,saude,450.0,saida,Clínica Bem Estar,pix
2025-11-05,Salário,receita,4708.39,entrada,Empresa ABC Ltda,pix
2025-11-05,Servicos,servicos,88.18,saida,Manutenção Residencial,credito
2025-11-05,Vestuario,vestuario,89.54,saida,Zara,debito
2025-11-05,Show,lazer,73.64,saida,Netflix,pix
2025-11-07,Academia,saude,99.0,saida,Farmácia Popular,debito
2025-11-07,Streaming (Netflix+Spotify),lazer,79.9,saida,Netflix,pix
2025-11-07,Servicos,servicos,28.07,saida,Salão Beauty,debito
2025-11-09,Condomínio,moradia,350.0,saida,Casa Nova Imobiliária,pix
2025-11-10,Aluguel,moradia,1200.0,saida,Casa Nova Imobiliária,pix
2025-11-10,Celular,servicos,89.9,saida,Barbearia Elite,credito
2025-11-10,Combustível,transporte,46.77,saida,Metrô,debito
2025-11-10,Servicos,servicos,56.74,saida,Barbearia Elite,credito
2025-11-10,Educacao,educacao,108.97,saida,Faculdade Digital,debito
2025-11-11,Janta,alimentacao,32.03,saida,Pet Shop Amigo Fiel,pix
2025-11-11,Ônibus,transporte,31.7,saida,99 Taxi,pix
2025-11-11,Educacao,educacao,55.08,saida,Faculdade Digital,credito
2025-11-13,Servicos,servicos,25.13,saida,Assistência Técnica,credito
2025-11-13,Educacao,educacao,22.03,saida,Livraria Saraiva,pix
2025-11-15,13º Salário,receita,2500.0,entrada,Empresa ABC Ltda,pix
2025-11-19,Show,lazer,90.66,saida,Banca de Jornais,pix
2025-11-19,Educacao,educacao,28.61,saida,Livraria Saraiva,pix
2025-11-19,Mercado,alimentacao,19.42,saida,Feira Livre Central,credito
2025-11-24,Servicos,servicos,49.87,saida,Assistência Técnica,pix
2025-11-24,Vestuario,vestuario,106.03,saida,H&M,pix
2025-12-01,Educacao,educacao,85.44,saida,Faculdade Digital,credito
2025-12-02,Plano de Saúde,saude,450.0,saida,Drogaria Saúde,credito
2025-12-02,Padaria,alimentacao,26.57,saida,Cafeteria Aroma,debito
2025-12-02,Ônibus,transporte,76.16,saida,Uber,pix
2025-12-03,Padaria,alimentacao,17.1,saida,Restaurante Sabor Caseiro,credito
2025-12-03,Servicos,servicos,78.85,saida,Manutenção Residencial,credito
2025-12-03,Vestuario,vestuario,117.18,saida,Lanchonete Rápida,credito
2025-12-04,Mercado,alimentacao,35.92,saida,Feira Livre Central,pix
2025-12-04,Bar,lazer,69.58,saida,Cinema Multiplex,credito
2025-12-04,Estacionamento,transporte,19.51,saida,Posto Shell,debito
2025-12-05,Salário,receita,4655.73,entrada,Empresa ABC Ltda,pix
2025-12-05,Internet,moradia,120.0,saida,Conforto Lar,debito
2025-12-05,Estacionamento,transporte,57.87,saida,99 Taxi,debito
2025-12-06,Celular,servicos,89.9,saida,Barbearia Elite,pix
2025-12-06,Streaming (Netflix+Spotify),lazer,79.9,saida,Livraria Cultura,credito
2025-12-07,Aluguel,moradia,1200.0,saida,Morada Feliz,credito
2025-12-08,Academia,saude,99.0,saida,Farmácia Popular,credito
2025-12-08,Servicos,servicos,27.73,saida,Salão Beauty,pix
2025-12-08,Ônibus,transporte,55.32,saida,99 Taxi,credito
2025-12-08,Metrô,transporte,22.55,saida,Padaria Pão Quente,pix
2025-12-10,Condomínio,moradia,350.0,saida,Morada Feliz,credito
2025-12-10,Mercado,alimentacao,28.48,saida,Feira Livre Central,debito
2025-12-10,Servicos,servicos,106.24,saida,Salão Beauty,credito
2025-12-11,Equipamento,alimentacao,528.5,saida,Supreme Supermercados,pix
2025-12-15,Vestuario,vestuario,85.21,saida,Zara,credito
2025-12-17,Educacao,educacao,107.83,saida,Faculdade Digital,pix
2025-12-17,Educacao,educacao,65.35,saida,Cursos Online Academy,debito
2025-12-19,Educacao,educacao,55.58,saida,Livraria Saraiva,pix
2025-12-19,Educacao,educacao,48.07,saida,Restaurante Sabor Caseiro,credito
2025-12-22,Servicos,servicos,65.8,saida,Bar do Zé,credito
2025-12-23,Estacionamento,transporte,53.0,saida,Cafeteria Aroma,debito
2025-12-23,Janta,alimentacao,13.24,saida,Feira Livre Central,pix
2025-12-23,Servicos,servicos,74.92,saida,Salão Beauty,pix
2025-12-24,Show,lazer,87.77,saida,Bar do Zé,debito
2025-12-26,Metrô,transporte,78.89,saida,Ônibus Municipal,debito
2025-12-29,Educacao,educacao,91.37,saida,Livraria Saraiva,debito
2025-12-30,Uber,transporte,17.79,saida,Posto Ipiranga,credito
2025-12-30,Estacionamento,transporte,58.44,saida,Lanchonete Rápida,debito
2025-12-30,Servicos,servicos,109.95,saida,Loja de Materiais de Construção,debito
2025-12-30,Presente,lazer,321.74,saida,Academia FitPro,credito
2025-12-31,Servicos,servicos,44.41,saida,Bar do Zé,credito
2025-12-31,Educacao,educacao,75.92,saida,Editora Moderna,pix
2025-12-31,Padaria,alimentacao,34.42,saida,Supermercado Bom Preço,credito
